,Feature
0,Close
1,Adj Close
2,ABER_ZG_5_15
3,ABER_SG_5_15
4,ABER_XG_5_15
5,ABER_ATR_5_15
6,ACCBL_20
7,ACCBM_20
8,ACCBU_20
9,AD
10,ADOSC_3_10
11,ADX_14
12,DMP_14
13,DMN_14
14,ALMA_10_6.0_0.85
17,AO_5_34
18,OBV
19,OBV_min_2
20,OBV_max_2
21,OBVe_4
22,OBVe_12
25,APO_12_26
29,ATRr_14
30,BBL_5_2.0
31,BBM_5_2.0
32,BBU_5_2.0
33,BBB_5_2.0
37,AR_26
38,BR_26
46,CFO_9
47,CG_10
49,CKSPl_10_3_20
50,CKSPs_10_3_20
51,CMF_20
52,CMO_14
53,COPC_11_14_10
55,LDECAY_5
57,DEMA_10
58,DCL_20_20
59,DCM_20_20
60,DCU_20_20
63,EMA_10
64,ENTP_10
65,EOM_14_100000000
71,FWMA_10
72,HA_open
73,HA_high
74,HA_low
75,HA_close
76,HILO_13_21
77,HL2
78,HLC3
79,HMA_10
80,HWM
81,HWU
82,HWL
83,HWMA_0.2_0.1_0.1
84,INERTIA_20_14
85,JMA_7_0
86,KAMA_10_2_30
87,KCLe_20_2
88,KCBe_20_2
89,KCUe_20_2
92,J_9_3
93,KST_10_15_20_30_10_10_10_15
94,KSTs_9
95,KURT_30
96,KVO_34_55_13
97,KVOs_34_55_13
98,LR_14
100,MACD_12_26_9
101,MACDh_12_26_9
102,MACDs_12_26_9
103,MAD_30
104,MASSI_9_25
105,MCGD_10
106,MEDIAN_30
107,MFI_14
108,MIDPOINT_2
109,MIDPRICE_2
111,NATR_14
112,NVI_1
113,OHLC4
117,PPO_12_26_9
118,PPOh_12_26_9
119,PPOs_12_26_9
122,PVI_1
123,PVO_12_26_9
125,PVOs_12_26_9
128,PVT
129,PWMA_10
130,QQE_14_5_4.236
131,QQE_14_5_4.236_RSIMA
132,QS_10
133,QTL_30_0.5
134,RMA_10
136,RSI_14
137,RSX_14
138,RVGI_14_4
139,RVGIs_14_4
141,SINWMA_14
142,SKEW_30
144,SMA_10
145,SMI_5_20_5
146,SMIs_5_20_5
147,SMIo_5_20_5
148,SQZ_20_2.0_20_1.5
152,SQZPRO_20_2.0_20_2_1.5_1
158,SSF_10_2
160,STCmacd_10_12_26_0.5
162,STDEV_30
166,STOCHRSId_14_14_3_3
167,SUPERT_7_3.0
169,SWMA_10
170,T3_10_0.7
171,TEMA_10
173,THERMOma_20_2_0.5
176,TOS_STDEVALL_LR
177,TOS_STDEVALL_L_1
178,TOS_STDEVALL_U_1
179,TOS_STDEVALL_L_2
180,TOS_STDEVALL_U_2
181,TOS_STDEVALL_L_3
182,TOS_STDEVALL_U_3
183,TRIMA_10
184,TRIX_30_9
185,TRIXs_30_9
187,TSI_13_25_13
188,TSIs_13_25_13
190,UI_14
191,UO_7_14_28
192,VAR_30
193,VHF_28
194,VIDYA_14
195,VTXP_14
196,VTXM_14
197,VWAP_D
198,VWMA_10
199,WCP
201,WMA_10
202,ZL_EMA_10
